Wall time,Step,Value
1761276411.8003242,99000,21.98221206665039
1761276412.592588,99500,21.6505126953125
1761276413.3817623,100000,21.48558235168457
1761276414.227204,100500,21.498395919799805
1761276415.0006986,101000,21.63764190673828
1761276415.8018072,101500,22.167509078979492
1761276416.5867002,102000,22.009984970092773
1761276417.3838067,102500,21.318519592285156
1761276418.192091,103000,21.383502960205078
1761276419.0550497,103500,21.322771072387695
1761276419.9196975,104000,20.79723358154297
1761276420.7135005,104500,20.972749710083008
1761276421.5316572,105000,21.353601455688477
1761276422.3519921,105500,21.57430648803711
1761276423.1340542,106000,21.730192184448242
1761276423.9464726,106500,22.281591415405273
1761276424.7606394,107000,22.64533233642578
1761276425.5453002,107500,23.170072555541992
1761276426.3175337,108000,23.298274993896484
1761276427.138354,108500,23.249935150146484
1761276427.9250708,109000,23.769445419311523
1761276428.7129607,109500,23.88636016845703
1761276429.5422103,110000,23.3250732421875
1761276430.3213823,110500,23.882291793823242
1761276431.1280894,111000,22.631031036376953
1761276431.9432828,111500,22.644004821777344
1761276432.7161741,112000,23.035625457763672
1761276433.5645046,112500,22.830202102661133
1761276434.389979,113000,23.278589248657227
1761276435.1914573,113500,23.74175262451172
1761276436.0250256,114000,24.453832626342773
1761276436.8939805,114500,24.982189178466797
1761276437.731856,115000,25.1768798828125
1761276438.538412,115500,25.52424430847168
1761276439.33642,116000,25.44270133972168
1761276440.1424282,116500,25.47344398498535
1761276440.9356973,117000,25.386043548583984
1761276441.8807063,117500,24.988157272338867
1761276442.6881804,118000,25.21222686767578
1761276443.541365,118500,25.73162841796875
1761276444.310747,119000,26.318796157836914
1761276445.0796645,119500,25.847793579101562
1761276445.8884153,120000,25.44077491760254
1761276446.6968014,120500,26.084150314331055
1761276447.5234153,121000,26.02689552307129
1761276448.3292203,121500,26.079591751098633
1761276449.1632123,122000,25.48805809020996
1761276449.984195,122500,24.82943344116211
1761276450.7819445,123000,24.785268783569336
1761276451.5893884,123500,24.167512893676758
1761276452.4000242,124000,24.258907318115234
1761276453.2295141,124500,24.473445892333984
1761276454.006832,125000,24.015544891357422
1761276454.8200564,125500,24.29792022705078
1761276455.6335502,126000,24.47026252746582
1761276456.4366944,126500,24.331104278564453
1761276457.2529297,127000,24.83643341064453
1761276458.0682278,127500,25.20477294921875
1761276458.878871,128000,25.252328872680664
1761276459.6992238,128500,24.868803024291992
1761276460.5639617,129000,23.827993392944336
1761276461.473451,129500,24.194076538085938
1761276462.4721453,130000,24.37799072265625
1761276463.437078,130500,24.400421142578125
1761276464.258912,131000,24.244258880615234
1761276465.0504975,131500,24.074600219726562
1761276465.8458695,132000,22.477277755737305
1761276466.656281,132500,22.191694259643555
1761276467.44261,133000,22.02095603942871
1761276468.2514122,133500,21.702821731567383
1761276469.055344,134000,21.325685501098633
1761276469.845461,134500,21.263710021972656
1761276470.6584523,135000,21.70563507080078
1761276471.4863596,135500,20.916902542114258
1761276472.3397434,136000,21.354944229125977
1761276473.1342237,136500,21.75682830810547
1761276473.9223766,137000,21.637155532836914
1761276474.7355237,137500,22.079862594604492
1761276475.5473437,138000,22.2132511138916
1761276476.3649752,138500,22.436771392822266
1761276477.1372554,139000,23.14436912536621
1761276477.9333107,139500,22.584075927734375
1761276478.7237794,140000,22.71258544921875
1761276479.5879,140500,22.800518035888672
1761276480.4164712,141000,22.72372817993164
1761276481.2707005,141500,22.8179988861084
1761276482.068715,142000,22.998315811157227
1761276482.8680532,142500,23.354839324951172
1761276483.6499705,143000,23.43415069580078
1761276484.4837224,143500,23.375402450561523
1761276485.2987142,144000,23.739238739013672
1761276486.151297,144500,24.215253829956055
1761276486.975382,145000,24.713125228881836
1761276487.775088,145500,24.585647583007812
1761276488.660337,146000,24.51296043395996
